stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
11,CLOS,REMARKS,Ghi chú,FCT_CLOS_WORKSTEP_EVENT,REMARKS,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY.LAST_REMARKS (review 2026-09-21) — SRS ghi 'NG_SB_CLOS_ENTRY_EXIT> REMARKS' trơn không kèm điều kiện, đúng là REMARKS của CHÍNH dòng event đang xét (đã lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker') ở dòng 6), không phải REMARKS của sự kiện hoàn tất gần nhất bất kỳ như LAST_REMARKS trên APPLICATION_DAILY (khác grain/ý nghĩa)"
12,RLOS,REPORT_WEEK,Tuần báo cáo,,phái sinh tầng report từ REPORT_DATE,KHOP,Cùng cách tính như nhánh CLOS (dòng 1)
13,RLOS,REPORT_DATE,Ngày báo cáo,FCT_RLOS_WORKSTEP_EVENT,PROCESSED_DATE,KHOP,"Cập nhật cùng lý do với nhánh CLOS (dòng 2, review 2026-09-21) — PROCESSED_DATE nay là cột phái sinh trực tiếp trên FCT_RLOS_WORKSTEP_EVENT (cột 24). Xem hld/HLD_FCT_SB_DWH.md 1.3.2.7"
14,RLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_RLOS_WORKSTEP_EVENT,DATASOURCE,KHOP,"Đính chính cùng lý do với nhánh CLOS (dòng 3, review 2026-09-21) — cột DATASOURCE có sẵn trên bảng này, cố định 'RLOS' sau khi tách vật lý (HLD_Table_Design.md dòng ~5058)"
15,RLOS,WINAME,Mã hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Cùng lý do với nhánh CLOS (dòng 4, review 2026-09-21) — đổi nguồn sang FCT_RLOS_WORKSTEP_EVENT, cùng grain event với WORKSTEP/ENTRYDATE/EXITDATE"
16,RLOS,CUSTOMER_NAME,Tên khách hàng,DIM_RLOS_APPLICANT,FULL_NAME,KHOP,"Cập nhật cùng lý do với nhánh CLOS (dòng 5, review 2026-09-21) — DIM_RLOS_APPLICANT nay join qua APPLICANT_SK có sẵn trực tiếp trên FCT_RLOS_WORKSTEP_EVENT (cột 26). Xem hld/HLD_FCT_SB_DWH.md 1.3.2.7"
17,RLOS,WORKSTEP,Bước hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Cùng lý do/cách đọc SRS với nhánh CLOS (dòng 6, review 2026-09-21) — đổi nguồn từ FCT_RLOS_APPLICATION_DAILY sang FCT_RLOS_WORKSTEP_EVENT (event-grain, 1:1 NG_SB_RLOS_ENTRY_EXIT, xem HLD_Table_Design.md Section 1.3.2.7), lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker')"
18,RLOS,UND_MAKER,User Chuyên viên thẩm định,FCT_RLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Cùng lý do/công thức với nhánh CLOS (dòng 7, review 2026-09-21) — CASE WHEN WORKSTEP_CODE='UnderwriterMaker' THEN USERNAME END trên chính dòng event"
19,RLOS,ENTRYDATE,Thời gian lên bước thẩm định,FCT_RLOS_WORKSTEP_EVENT,ENTRYDATE,KHOP,"Cùng lý do/cách đọc SRS với nhánh CLOS (dòng 8, review 2026-09-21) — giá trị của chính dòng event đã lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker'), không phải MIN() cross-row"
20,RLOS,EXITDATE,Ngày báo cáo/Thời gian kết thúc bước thẩm định,FCT_RLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Cùng lý do/cách đọc SRS với nhánh CLOS (dòng 9, review 2026-09-21) — giá trị của chính dòng event đã lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker'), không phải MAX() cross-row"
21,RLOS,FLAG,Trạng thái,FCT_RLOS_WORKSTEP_EVENT,WORKSTEP_FLAG,KHOP,"Cập nhật cùng lý do với nhánh CLOS (dòng 10, review 2026-09-21) — WORKSTEP_FLAG nay là cột phái sinh trực tiếp trên FCT_RLOS_WORKSTEP_EVENT (cột 25). Xem hld/HLD_FCT_SB_DWH.md 1.3.2.7"
22,RLOS,REMARKS,Ghi chú,FCT_RLOS_WORKSTEP_EVENT,REMARKS,KHOP,"Cùng lý do với nhánh CLOS (dòng 11, review 2026-09-21) — REMARKS của chính dòng event đang xét"
