stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
21,ZONE,Khu vực,DIM_CLOS_CUSTOMER,ZONE,KHOP,"Đổi nguồn (review 2026-09-21, theo yêu cầu người dùng) — cùng lý do BC1.ZONE (lld/BC1.csv#31): đưa giá trị tự khai gốc lên DIM_CLOS_CUSTOMER.ZONE (cột 6, làm giàu từ NG_SB_CLOS_CUST_INFO.ZONEE, cùng bảng nguồn với FULL_NAME đã có trên DIM này), thay vì DIM_LOS_ORG_UNIT.ZONE (mã nội bộ, thuộc tính đơn vị kinh doanh). Join qua FCT_CLOS_APPLICATION_DAILY.CUSTOMER_SK → DIM_CLOS_CUSTOMER (2.2.1.7). Không còn liên quan DIM_LOS_ORG_UNIT/ORG_UNIT_SK cho trường này"
22,BRANCH_CODE,Mã Chi nhánh,DIM_LOS_ORG_UNIT,BRANCH_CODE,KHOP,"Join qua FCT_CLOS_APPLICATION_DAILY.ORG_UNIT_SK (công thức lookup: COMPANY_CODE=NG_SB_CLOS_CUST_INFO.COMPANY_CODE, review 2026-09-21) → DIM_LOS_ORG_UNIT (2.1.1, nguồn MAS_COMPANY.BRANCH_ID)"
23,BRANCH_NAME,Tên Chi nhánh,DIM_LOS_ORG_UNIT,BRANCH_NAME,KHOP,Nguồn MAS_BRANCH.BRANCH_NAME_VN
24,COMPANY_CODE,Mã PGD,DIM_LOS_ORG_UNIT,COMPANY_CODE,KHOP,Nguồn MAS_COMPANY.COMPANY_CODE — cũng là NK của DIM
25,COMPANY_NAME,Tên PGD,DIM_LOS_ORG_UNIT,COMPANY_NAME,KHOP,Nguồn MAS_COMPANY.COMPANY_NAME_VN
26,APP_GRP,Cấp phân quyền phê duyệt,DIM_CLOS_APPLICATION,APP_GRP,KHOP,Cột 20 — nguồn NG_SB_CLOS_APPROVAL.APP_GRP. DIM_CLOS_APPROVAL_GROUP cũ đã bị loại bỏ hoàn toàn — cột này bê thẳng lên DIM_CLOS_APPLICATION (review 2026-09-18)
27,PRODUCT_LINE,Dòng sản phẩm,DIM_CLOS_PRODUCT,PRODUCT_LINE_CODE,KHOP,"Đóng PENDING (review 2026-09-21): NG_SB_CLOS_CUST_INFO.PRODUCT_LINE (nguồn SRS) xác nhận CÙNG khái niệm với DIM_CLOS_PRODUCT.PRODUCT_LINE_CODE — đã dùng nhất quán khi thiết kế BC9 nhánh CLOS (SLHS_CLOS/SLGN_CLOS, xem HLD_DIM_SB_DWH.md 1.2.1.2). Theo quyết định người dùng: KHÔNG tạo cột text trùng lặp trên DIM_CLOS_APPLICATION — hợp nhất qua đúng 1 chiều sản phẩm, JOIN qua FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK (nay đã bổ sung công thức lookup rõ theo PRODUCT_LINE_CODE=CUST_INFO.PRODUCT_LINE AND SUB_PRODUCT_CODE=CUST_INFO.SUB_PRODUCT, xem HLD_FCT_SB_DWH.md cột 9, 1.2.2.1) → DIM_CLOS_PRODUCT"
28,SUB_PRODUCT,Sản phẩm nhánh,DIM_CLOS_PRODUCT,SUB_PRODUCT_CODE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do/công thức PRODUCT_LINE (dòng 27): NG_SB_CLOS_CUST_INFO.SUB_PRODUCT cùng khái niệm với DIM_CLOS_PRODUCT.SUB_PRODUCT_CODE, JOIN qua cùng PRODUCT_SK"
29,CREDIT_LIMITS,Hạn mức cấp,FCT_CLOS_APPLICATION_DAILY,CREDIT_LIMIT_COMMITTEE,KHOP,"Cột 51 — nguồn NG_SB_CLOS_CREDITINFO_COMM.CREDIT_LIMIT, đúng khớp SRS BC2 (NG_SB_CLOS_CREDITINFO_COMM > CREDIT_LIMIT)"
30,LAST_WORKSTEP,Bước hồ sơ cuối,FCT_CLOS_APPLICATION_DAILY,LAST_WORKSTEP,KHOP,"Cột 68 (bổ sung tại PDTD_DTM) — LEFT JOIN Q_RLOS_REF_WORKSTEP_2SYSTEMS để chuẩn hóa tên bước dùng chung 2 hệ. Khác LAST_WORKSTEP_SK (cột 6, khóa nội bộ tới DIM_CLOS_WORKSTEP)"
31,PRE_WORKSTEP,Bước hồ sơ trước đó,FCT_CLOS_APPLICATION_DAILY,PRE_WORKSTEP_CODE,KHOP,Cột 39 — LAG theo ENTRYDATE
32,LAST_ENTRYDATE,Thời gian vào bước cuối,FCT_CLOS_APPLICATION_DAILY,LAST_ENTRYDATE,KHOP,Cột 33 — ENTRYDATE của sự kiện hoàn tất gần nhất
33,LAST_EXITDATE,Thời gian kết thúc bước cuối,FCT_CLOS_APPLICATION_DAILY,LAST_EXITDATE,KHOP,Cột 34
34,LAST_REMARKS,Ghi chú ý kiến bước cuối,FCT_CLOS_APPLICATION_DAILY,LAST_REMARKS,KHOP,Cột 41
35,LAST_DECISION,Quyết định bước cuối,FCT_CLOS_APPLICATION_DAILY,LAST_DECISION_SK,KHOP,Cột 7 — khóa tới DIM_CLOS_DECISION; giá trị hiển thị lấy qua join DIM_CLOS_DECISION.DECISION
36,UNDERWRITERMAKER_TAKERESPON,CV Thẩm định chịu trách nhiệm,FCT_CLOS_APPLICATION_DAILY,UNDERWRITERMAKER_TAKERESPON,KHOP,"Cột 63, PHÁI SINH đúng nguyên văn SRS. ⚠️ CẢNH BÁO: nguồn NG_SB_CLOS_USER_MAKE_WORK_STEP không có trong DS_BANG_202608.xlsx — chưa xác nhận tồn tại thật trên DB (PENDING kỹ thuật riêng của HLD)"
37,UNDERWRITERCHECKER_TAKERESPON,Kiểm soát thẩm định chịu trách nhiệm,FCT_CLOS_APPLICATION_DAILY,UNDERWRITERCHECKER_TAKERESPON,KHOP,Cột 64. Cùng cảnh báo nguồn NG_SB_CLOS_USER_MAKE_WORK_STEP như trên
38,APPROVAL_TAKERESPON,Chuyên gia phê duyệt chịu trách nhiệm,FCT_CLOS_APPLICATION_DAILY,APPROVAL_TAKERESPON,KHOP,"Cột 65 — có hằng số hardcode theo APP_GRP (A1→long.lq, CC→UBTD, BOD→HDQT) khi không có m.USER_MAKE, khác công thức RLOS. Cùng cảnh báo nguồn NG_SB_CLOS_USER_MAKE_WORK_STEP như trên"
39,ST_YEUCAU,Số tiền đề xuất vay,FCT_CLOS_APPLICATION_DAILY,PROPOSED_AMT,KHOP,Cột 49 — nguồn NG_SB_CLOS_CREDITINFO_COMM.PRECREDITLIMIT
40,ST_PHEDUYET,Số tiền phê duyệt chính thức,FCT_CLOS_APPLICATION_DAILY,CREDIT_LIMIT_APPROVAL,KHOP,"Cột 50 — nguồn NG_SB_CLOS_CREDITINFO_CD.CREDIT_LIMIT. Khác CREDIT_LIMITS (dòng 29, nguồn CREDITINFO_COMM) — 2 trường độc lập đúng theo SRS"
41,CURRENCY,Loại tiền tệ áp dụng,FCT_CLOS_APPLICATION_DAILY,CURRENCY_CODE,KHOP,Cột 56 — nguồn NG_SB_CLOS_CREDITINFO_COMM.CURRENCY
42,CREDIT_TERM,Thời hạn cấp tín dụng (tháng),FCT_CLOS_APPLICATION_DAILY,APPROVED_TERM,KHOP,Cột 53 — nguồn NG_SB_CLOS_CREDITINFO_COMM.CREDIT_TERM
43,INTEREST_RATE,Lãi suất phê duyệt,FCT_CLOS_APPLICATION_DAILY,INTEREST_RATE_PCT,KHOP,"Đóng PENDING (theo quyết định người dùng, review 2026-09-21): SRS chỉ có 1 field INTEREST_RATE không phân biệt số/text, chọn INTEREST_RATE_PCT (cột 54, số, ép kiểu từ NG_SB_CLOS_CREDITINFO_COMM.INTEREST_RATE) làm cột đích. INTEREST_RATE_DESC (cột 55, text nguyên văn, giữ công thức nhiều giai đoạn) không dùng cho BC2"
44,TSDB_NHOM_0,Hồ sơ có Tài sản nhóm 0 (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,"Cột 7 (nguồn NG_SB_CLOS_COLL_CD.COLLTYPE) — PHÁI SINH ở tầng report: COLLATERAL_TYPE_CODE IS NOT NULL (tồn tại ít nhất 1 dòng FCT_CLOS_COLLATERAL của hồ sơ) → YES, else NO"
45,TSDB_PTVT,Hồ sơ có TSBĐ là PTVT (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='PHUONGTIEN VTAI' → YES
46,TSDB_BDS,Hồ sơ có TSBĐ là BĐS (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='BAT DONG SAN' → YES
47,TSDB_MMTB,Hồ sơ có TSBĐ là MMTB (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,"Cùng cột 7 — PHÁI SINH: COLLTYPE='TAI SAN KHAC - MMTB,DCSX' → YES"
48,TSDB_KPT,Hồ sơ có TSBĐ là KPT (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='TAI SAN KHAC - QUYEN DOI NO' → YES
49,TSDB_HTK,Hồ sơ có TSBĐ là HTK (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,"Cùng cột 7 — PHÁI SINH: COLLTYPE IN ('HH LA LINHKIEN','HH LA NLSX','HH TM THANHPHAM') → YES"
50,TSDB_TIN_CHAP,Hồ sơ tín chấp (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='KHÔNG CÓ TÀI SẢN' → YES
51,TIN_CHAP_TQD,Tín chấp theo quy định (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='TIN CHAP THEO QUY DINH' → YES
52,TSDB_CP_TP,TSBĐ là Cổ phiếu/Trái phiếu (YES/NO),FCT_CLOS_COLLATERAL,COLLATERAL_TYPE_CODE,KHOP,Cùng cột 7 — PHÁI SINH: COLLTYPE='TR.PHIEU TIN PH' → YES
53,DEV_PROPOSAL,Hồ sơ có ngoại lệ (YES/NO),FCT_CLOS_DEVIATION,DEV_PROPOSAL,KHOP,"Cột 7 (nguồn NG_SB_CLOS_CONDITON_CDGRID.DEV_PROPOSAL) — PHÁI SINH ở tầng report: EXISTS dòng FCT_CLOS_DEVIATION của hồ sơ → YES, else NO. Khác cách BC6 dùng trực tiếp giá trị DEV_PROPOSAL (không phải cờ)"
54,MIN_UWM,Thời gian hồ sơ lên CV thẩm định,FCT_CLOS_APPLICATION_DAILY,MIN_UWM,KHOP,Cột 28 — MIN(ENTRYDATE) tại UnderwriterMaker
55,MIN_APP,Thời gian hồ sơ lên cấp phê duyệt,FCT_CLOS_APPLICATION_DAILY,MIN_APP,KHOP,Cột 29 — MIN(ENTRYDATE) tại CreditApproval/CreditCommittee
56,FLAG_AUTO_CAN,Hồ sơ bị tự động hủy (YES/NO),FCT_CLOS_APPLICATION_DAILY,FLAG_AUTO_CANCEL,KHOP,Cột 40 — 'YES' nếu AUTO_CANCEL_DATE khác NULL. SRS mô tả công thức khác (BI_CAN_DATE IS NOT NULL AND LAST_DECISION='Auto-Cancel') nhưng cùng ý nghĩa nghiệp vụ với FLAG_AUTO_CANCEL đã thiết kế sẵn — không phát hiện lệch cần xử lý riêng
57,LAST_APPROVAL_DATE,Thời gian phê duyệt cuối cùng,FCT_CLOS_APPLICATION_DAILY,LAST_APPROVAL_DATE,KHOP,Cột 27 — MAX(EXITDATE) tại bước phê duyệt
58,BI_CAN_DATE,Thời gian hồ sơ vào vùng CancelRevoke,FCT_CLOS_APPLICATION_DAILY,BI_CAN_DATE,KHOP,Cột 32 — ENTRYDATE tại bước CancelRevoke
59,RI_USER,User khởi tạo hồ sơ,FCT_CLOS_APPLICATION_DAILY,RI_USER,KHOP,Cột 11 — User xử lý bước RequestInitiate
60,BRANCH_USER,User Chi nhánh,FCT_CLOS_APPLICATION_DAILY,BRANCH_USER,KHOP,"Cột 12 — User xử lý bước BranchSupport, hoàn tất gần nhất"
61,DDE_USER,User Chuyên viên nhập liệu,FCT_CLOS_APPLICATION_DAILY,DDE_USER,KHOP,Cột 13 — User xử lý bước DetailDataEntry
62,QUALITY_CHECKER,User Kiểm soát nhập liệu,FCT_CLOS_APPLICATION_DAILY,QC_USER,KHOP,Cột 14 — User xử lý bước DataInputerChecker
63,PHV_USER,User Chuyên viên Thẩm định điện thoại,FCT_CLOS_APPLICATION_DAILY,PHV_USER,KHOP,Cột 17 — User xử lý bước PhoneVerification
64,FA_USER,User Chuyên viên Thực địa,FCT_CLOS_APPLICATION_DAILY,FA_USER,KHOP,Cột 18 — User Chuyên viên Thực địa (bước FieldAssessment)
65,UND_MAKER,User Chuyên viên thẩm định,FCT_CLOS_APPLICATION_DAILY,UND_MAKER_USER,KHOP,Cột 15
66,UND_CHECKER,User Kiểm soát thẩm định,FCT_CLOS_APPLICATION_DAILY,UND_CHECKER_USER,KHOP,Cột 16
67,BI_APPROVER,User Chuyên gia phê duyệt,FCT_CLOS_APPLICATION_DAILY,APPROVER_USER,KHOP,"Cột 19 — User xử lý bước CreditApproval, hoàn tất gần nhất"
68,BI_COMMITTEE,User Hội đồng tín dụng,FCT_CLOS_APPLICATION_DAILY,COMMITTEE_USER,KHOP,Cột 20 — User Hội đồng tín dụng (bước CreditCommittee)
69,BI_HOS_USER,User Hỗ trợ phê duyệt,FCT_CLOS_APPLICATION_DAILY,HOS_USER,KHOP,Cột 21 — User Hỗ trợ phê duyệt (bước HOSupport)
